ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1976-01-01,13.02739424745,10.337035268965234,15.079509117187072,13.02739424745,13.02739424745,-0.21950185845863227,-0.21950185845863227,-0.21950185845863227,-0.21950185845863227,-0.21950185845863227,-0.21950185845863227,0.0,0.0,0.0,12.807892388991368
1976-02-01,13.036130608365704,10.636086933462881,15.530635835878666,13.036130608365704,13.036130608365704,0.06450744027048141,0.06450744027048141,0.06450744027048141,0.06450744027048141,0.06450744027048141,0.06450744027048141,0.0,0.0,0.0,13.100638048636187
1976-03-01,13.044303333093298,10.956484326846523,15.573230583824751,13.044303333093298,13.044303333093298,0.12291950880541244,0.12291950880541244,0.12291950880541244,0.12291950880541244,0.12291950880541244,0.12291950880541244,0.0,0.0,0.0,13.16722284189871
1976-04-01,13.053039694009001,10.416060268388017,15.214264872162707,13.053039694009001,13.053039694009001,-0.23784539123700196,-0.23784539123700196,-0.23784539123700196,-0.23784539123700196,-0.23784539123700196,-0.23784539123700196,0.0,0.0,0.0,12.815194302772
1976-05-01,13.061494236830653,10.551040828087457,15.371203123084639,13.061494236830653,13.061494236830653,-0.07158532890545197,-0.07158532890545197,-0.07158532890545197,-0.07158532890545197,-0.07158532890545197,-0.07158532890545197,0.0,0.0,0.0,12.989908907925201
1976-06-01,13.070230597746356,10.483066614080832,15.333555096902533,13.070230597746356,13.070230597746356,-0.2225063052629795,-0.2225063052629795,-0.2225063052629795,-0.2225063052629795,-0.2225063052629795,-0.2225063052629795,0.0,0.0,0.0,12.847724292483376
1976-07-01,13.078685140568005,10.660956751423969,15.528812624534893,13.078685140568005,13.078685140568005,0.008367696465558854,0.008367696465558854,0.008367696465558854,0.008367696465558854,0.008367696465558854,0.008367696465558854,0.0,0.0,0.0,13.087052837033564
1976-08-01,13.087421501483709,10.72593025401858,15.464890249605775,13.087421501483709,13.087421501483709,0.0936915326672883,0.0936915326672883,0.0936915326672883,0.0936915326672883,0.0936915326672883,0.0936915326672883,0.0,0.0,0.0,13.181113034150997
1976-09-01,13.096157862399414,10.674028034362024,15.605144110253388,13.096157862399414,13.096157862399414,0.09208379708490211,0.09208379708490211,0.09208379708490211,0.09208379708490211,0.09208379708490211,0.09208379708490211,0.0,0.0,0.0,13.188241659484316
1976-10-01,13.104612405221063,10.611068644961495,15.358492765879543,13.104612405221063,13.104612405221063,-0.1095288127592813,-0.1095288127592813,-0.1095288127592813,-0.1095288127592813,-0.1095288127592813,-0.1095288127592813,0.0,0.0,0.0,12.995083592461782
1976-11-01,13.113348766136767,10.63482343623621,15.24968977871651,13.113348766136767,13.113348766136767,-0.1953029408900429,-0.1953029408900429,-0.1953029408900429,-0.1953029408900429,-0.1953029408900429,-0.1953029408900429,0.0,0.0,0.0,12.918045825246724
1976-12-01,13.121803308958418,10.820755112057803,15.49074859128571,13.121803308958418,13.121803308958418,-0.0065261954350205225,-0.0065261954350205225,-0.0065261954350205225,-0.0065261954350205225,-0.0065261954350205225,-0.0065261954350205225,0.0,0.0,0.0,13.115277113523398
1977-01-01,13.13053966987412,10.4362615134605,15.196634779483553,13.13053966987412,13.13053966987412,-0.14348776181190517,-0.14348776181190517,-0.14348776181190517,-0.14348776181190517,-0.14348776181190517,-0.14348776181190517,0.0,0.0,0.0,12.987051908062215
1977-02-01,13.139276030789826,10.594139006746339,15.317626196968753,13.139276030789826,13.139276030789826,-0.18774926740941172,-0.18774926740941172,-0.18774926740941172,-0.18774926740941172,-0.18774926740941172,-0.18774926740941172,0.0,0.0,0.0,12.951526763380414
